,accuracy,batch_run,dataset,f1,f1_mean,f1_std,logloss,model,n_total_train,seed_initialization_run,selector,test_base_rate,test_positives,test_size,train_base_rate,train_fraction,train_positives,train_size
35,0.939,1,skewed_sklearn_10_to_1,0.6737967914438502,0.6737967914438502,,0.15996767143086343,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.10752688172043011,0.372,40.0,372.0
36,0.937,1,skewed_sklearn_10_to_1,0.6594594594594596,0.6594594594594596,,0.15970044390069074,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.10471204188481675,0.382,40.0,382.0
37,0.939,1,skewed_sklearn_10_to_1,0.6666666666666667,0.6666666666666667,,0.15955156019029484,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.10714285714285714,0.392,42.0,392.0
38,0.94,1,skewed_sklearn_10_to_1,0.6739130434782609,0.6739130434782609,,0.15916832231580413,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.10945273631840796,0.402,44.0,402.0
39,0.942,1,skewed_sklearn_10_to_1,0.6847826086956521,0.6847826086956521,,0.15534645996806462,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.10922330097087378,0.412,45.0,412.0
40,0.94,1,skewed_sklearn_10_to_1,0.6739130434782609,0.6739130434782609,,0.15547707639156694,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.10900473933649289,0.422,46.0,422.0
41,0.94,1,skewed_sklearn_10_to_1,0.6739130434782609,0.6739130434782609,,0.1552086176171244,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.10648148148148148,0.432,46.0,432.0
42,0.941,1,skewed_sklearn_10_to_1,0.6844919786096257,0.6844919786096257,,0.15481249736796449,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.1085972850678733,0.442,48.0,442.0
43,0.945,1,skewed_sklearn_10_to_1,0.6927374301675977,0.6927374301675977,,0.15536913950588166,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.1084070796460177,0.452,49.0,452.0
44,0.944,1,skewed_sklearn_10_to_1,0.6853932584269664,0.6853932584269664,,0.15467148182943322,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.10606060606060606,0.462,49.0,462.0
45,0.943,1,skewed_sklearn_10_to_1,0.6815642458100559,0.6815642458100559,,0.15464834998689986,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.1038135593220339,0.472,49.0,472.0
46,0.946,1,skewed_sklearn_10_to_1,0.689655172413793,0.689655172413793,,0.15519246398323144,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.1016597510373444,0.482,49.0,482.0
47,0.947,1,skewed_sklearn_10_to_1,0.6971428571428572,0.6971428571428572,,0.15495085463535546,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.1016260162601626,0.492,50.0,492.0
48,0.946,1,skewed_sklearn_10_to_1,0.6931818181818182,0.6931818181818182,,0.1545815433821661,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.099601593625498,0.502,50.0,502.0
49,0.946,1,skewed_sklearn_10_to_1,0.6931818181818182,0.6931818181818182,,0.15447827764994623,logistic_regression,1000.0,1.0,random,0.104,104.0,1000.0,0.099609375,0.512,51.0,512.0
0,0.825,2,skewed_sklearn_10_to_1,0.43365695792880266,0.43365695792880266,,0.4208924777139493,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.36363636363636365,0.022,8.0,22.0
1,0.865,2,skewed_sklearn_10_to_1,0.4747081712062257,0.4747081712062257,,0.32997896612051547,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.3125,0.032,10.0,32.0
